"SampleSize","LinkFunction","MeanVarStructure","RealWorkingCorr","SpecifiedWorkingCorr","BetaHatRMSE"
10,"log","Poisson","independence","independence",0.549306144334018
10,"log","Poisson","independence","exchangeable",0.549306144334135
10,"log","Poisson","independence","ar1",0.549306144334087
10,"log","Poisson","exchangeable","independence",0.549306144334114
10,"log","Poisson","exchangeable","exchangeable",0.54930614433396
10,"log","Poisson","exchangeable","ar1",0.549306144334012
10,"log","Poisson","ar1","independence",0.549306144334088
10,"log","Poisson","ar1","exchangeable",0.549306144334055
10,"log","Poisson","ar1","ar1",0.549306144334024
10,"log","Gamma","independence","independence",1.5799335443427
10,"log","Gamma","independence","exchangeable",2.01251948543291
10,"log","Gamma","independence","ar1",1.97240848418528
10,"log","Gamma","exchangeable","independence",3.86345577113175
10,"log","Gamma","exchangeable","exchangeable",3.46385423414946
10,"log","Gamma","exchangeable","ar1",3.157036822334
10,"log","Gamma","ar1","independence",2.60598491401356
10,"log","Gamma","ar1","exchangeable",2.74734257127177
10,"log","Gamma","ar1","ar1",3.86506060724354
10,"identity","Poisson","independence","independence",58.74004188343
10,"identity","Poisson","independence","exchangeable",54.4612124918201
10,"identity","Poisson","independence","ar1",57.9572232742069
10,"identity","Poisson","exchangeable","independence",117.19219616695
10,"identity","Poisson","exchangeable","exchangeable",80.9720392686404
10,"identity","Poisson","exchangeable","ar1",133.657895059623
10,"identity","Poisson","ar1","independence",104.174431820373
10,"identity","Poisson","ar1","exchangeable",52.5045985035296
10,"identity","Poisson","ar1","ar1",130.403935665491
10,"identity","Gamma","independence","independence",154.833338058172
10,"identity","Gamma","independence","exchangeable",128.798838218153
10,"identity","Gamma","independence","ar1",130.972839541349
10,"identity","Gamma","exchangeable","independence",410.050798723115
10,"identity","Gamma","exchangeable","exchangeable",316.284750052615
10,"identity","Gamma","exchangeable","ar1",317.003649740568
10,"identity","Gamma","ar1","independence",196.25257170571
10,"identity","Gamma","ar1","exchangeable",231.376746128029
10,"identity","Gamma","ar1","ar1",390.39294904754
20,"log","Poisson","independence","independence",0.54930614433409
20,"log","Poisson","independence","exchangeable",0.549306144334045
20,"log","Poisson","independence","ar1",0.549306144333996
20,"log","Poisson","exchangeable","independence",0.549306144334043
20,"log","Poisson","exchangeable","exchangeable",0.54930614433403
20,"log","Poisson","exchangeable","ar1",0.549306144334049
20,"log","Poisson","ar1","independence",0.549306144333995
