"NumClusters","LinkFunction","MeanVarStructure","RealWorkingCorr","SpecifiedWorkingCorr","SERMSE"
2,"log","Poisson","independence","independence",5.53962409118814e-14
2,"log","Poisson","independence","exchangeable",6.14821747629949e-14
2,"log","Poisson","independence","ar1",7.32051744207389e-14
2,"log","Poisson","exchangeable","independence",5.7676795817997e-14
2,"log","Poisson","exchangeable","exchangeable",4.28523239847788e-14
2,"log","Poisson","exchangeable","ar1",3.75010916313547e-14
2,"log","Poisson","ar1","independence",1.30842206801486e-13
2,"log","Poisson","ar1","exchangeable",7.56220427376191e-14
2,"log","Poisson","ar1","ar1",9.0876950228799e-14
2,"log","Gamma","independence","independence",0.203972852462896
2,"log","Gamma","independence","exchangeable",0.222188375910133
2,"log","Gamma","independence","ar1",0.293741413479004
2,"log","Gamma","exchangeable","independence",0.42552878155778
2,"log","Gamma","exchangeable","exchangeable",0.334259052477789
2,"log","Gamma","exchangeable","ar1",0.27371540331829
2,"log","Gamma","ar1","independence",0.20464507255656
2,"log","Gamma","ar1","exchangeable",0.235063137420955
2,"log","Gamma","ar1","ar1",0.270487577999696
2,"identity","Poisson","independence","independence",6.56225129348326
2,"identity","Poisson","independence","exchangeable",5.11220975765505
2,"identity","Poisson","independence","ar1",4.03007333124956
2,"identity","Poisson","exchangeable","independence",12.4462353127799
2,"identity","Poisson","exchangeable","exchangeable",15.9585824625771
2,"identity","Poisson","exchangeable","ar1",10.5489018109622
2,"identity","Poisson","ar1","independence",4.5182305909678
2,"identity","Poisson","ar1","exchangeable",5.95079867468901
2,"identity","Poisson","ar1","ar1",5.21283238178972
2,"identity","Gamma","independence","independence",12.3139783523507
2,"identity","Gamma","independence","exchangeable",14.1040666696683
2,"identity","Gamma","independence","ar1",12.9472655378409
2,"identity","Gamma","exchangeable","independence",26.1046759491101
2,"identity","Gamma","exchangeable","exchangeable",36.5997305938193
2,"identity","Gamma","exchangeable","ar1",36.5601390861381
2,"identity","Gamma","ar1","independence",14.7817772728734
2,"identity","Gamma","ar1","exchangeable",16.3897068152879
2,"identity","Gamma","ar1","ar1",18.9397184166281
3,"log","Poisson","independence","independence",4.90331941745018e-14
3,"log","Poisson","independence","exchangeable",5.88543086513947e-14
3,"log","Poisson","independence","ar1",6.37519413322208e-14
3,"log","Poisson","exchangeable","independence",4.07857465977428e-14
3,"log","Poisson","exchangeable","exchangeable",4.06220236434606e-14
3,"log","Poisson","exchangeable","ar1",4.22820183034261e-14
3,"log","Poisson","ar1","independence",3.86368627394582e-14
3,"log","Poisson","ar1","exchangeable",6.28291627891484e-14
3,"log","Poisson","ar1","ar1",7.23640343066954e-14
3,"log","Gamma","independence","independence",0.226671105955443
